season_stage,player,gp,g,a,tp,pim,pm,position,team,teamid,playerid,year,url,shortname,gpg,apg,ppg,perc_team_g,perc_team_a,perc_team_tp,league
EOJBHL,Julien Francis,2.0,0.0,0.0,0.0,2.0,0.0,['F'],ALE,6623,792923,2006-2007,https://www.eliteprospects.com/player/792923/julien-francis,julien-francis,0.0,0.0,0.0,0.0,0.0,0.0,CCHL2
EOJBHL,Rob Moreland,39.0,38.0,15.0,53.0,46.0,0.0,['F'],ARN,6848,792931,2006-2007,https://www.eliteprospects.com/player/792931/rob-moreland,rob-moreland,0.974,0.385,1.359,0.413,0.161,0.286,CCHL2
EOJBHL,Peter Sweeney,33.0,12.0,22.0,34.0,39.0,0.0,['RW'],ARN,6848,159282,2006-2007,https://www.eliteprospects.com/player/159282/peter-sweeney,peter-sweeney,0.364,0.667,1.03,0.154,0.28,0.217,CCHL2
EOJBHL,Steven Frost,34.0,12.0,17.0,29.0,40.0,0.0,['C'],ARN,6848,610144,2006-2007,https://www.eliteprospects.com/player/610144/steven-frost,steven-frost,0.353,0.5,0.853,0.15,0.21,0.18,CCHL2
EOJBHL,Kyle Couvieau,39.0,10.0,13.0,23.0,104.0,0.0,['RW'],ARN,6848,627946,2006-2007,https://www.eliteprospects.com/player/627946/kyle-couvieau,kyle-couvieau,0.256,0.333,0.59,0.109,0.14,0.124,CCHL2
EOJBHL,Matt Norris,33.0,9.0,11.0,20.0,48.0,0.0,['C'],ARN,6848,815104,2006-2007,https://www.eliteprospects.com/player/815104/matt-norris,matt-norris,0.273,0.333,0.606,0.116,0.14,0.128,CCHL2
EOJBHL,Adam Cybulski,38.0,9.0,9.0,18.0,151.0,0.0,['F'],ARN,6848,610143,2006-2007,https://www.eliteprospects.com/player/610143/adam-cybulski,adam-cybulski,0.237,0.237,0.474,0.1,0.099,0.1,CCHL2
EOJBHL,Mitch Melanson,35.0,2.0,5.0,7.0,62.0,0.0,['D'],ARN,6848,639476,2006-2007,https://www.eliteprospects.com/player/639476/mitch-melanson,mitch-melanson,0.057,0.143,0.2,0.024,0.06,0.042,CCHL2
EOJBHL,Scott Stewart,6.0,0.0,1.0,1.0,0.0,0.0,['D'],ARN,6848,736064,2006-2007,https://www.eliteprospects.com/player/736064/scott-stewart,scott-stewart,0.0,0.167,0.167,0.0,0.07,0.035,CCHL2
EOJBHL,Steve McGlade,35.0,23.0,32.0,55.0,111.0,0.0,['F'],ATH,3518,627944,2006-2007,https://www.eliteprospects.com/player/627944/steve-mcglade,steve-mcglade,0.657,0.914,1.571,0.425,0.319,0.356,CCHL2
EOJBHL,Ryan Delorme,44.0,11.0,29.0,40.0,60.0,0.0,['D'],ATH,3518,78184,2006-2007,https://www.eliteprospects.com/player/78184/ryan-delorme,ryan-delorme,0.25,0.659,0.909,0.162,0.23,0.206,CCHL2
EOJBHL,Nathan Livingstone,38.0,6.0,23.0,29.0,156.0,0.0,['D'],ATH,3518,77857,2006-2007,https://www.eliteprospects.com/player/77857/nathan-livingstone,nathan-livingstone,0.158,0.605,0.763,0.102,0.211,0.173,CCHL2
EOJBHL,Tyler Maxwell,29.0,7.0,14.0,21.0,108.0,0.0,['F'],ATH,3518,630298,2006-2007,https://www.eliteprospects.com/player/630298/tyler-maxwell,tyler-maxwell,0.241,0.483,0.724,0.156,0.169,0.164,CCHL2
EOJBHL,Aaron MacCosham,42.0,10.0,10.0,20.0,16.0,0.0,['LW'],ATH,3518,77876,2006-2007,https://www.eliteprospects.com/player/77876/aaron-maccosham,aaron-maccosham,0.238,0.238,0.476,0.154,0.083,0.108,CCHL2
EOJBHL,Andrew Warren,38.0,6.0,9.0,15.0,66.0,0.0,['D'],ATH,3518,792901,2006-2007,https://www.eliteprospects.com/player/792901/andrew-warren,andrew-warren,0.158,0.237,0.395,0.102,0.083,0.09,CCHL2
EOJBHL,Nathan Murray,11.0,5.0,9.0,14.0,18.0,0.0,['F'],ATH,3518,829703,2006-2007,https://www.eliteprospects.com/player/829703/nathan-murray,nathan-murray,0.455,0.818,1.273,0.294,0.286,0.289,CCHL2
EOJBHL,Alex Rees,41.0,20.0,40.0,60.0,102.0,0.0,['D'],BRO,5683,792933,2006-2007,https://www.eliteprospects.com/player/792933/alex-rees,alex-rees,0.488,0.976,1.463,0.13,0.182,0.161,CCHL2
EOJBHL,Kyle Botos,43.0,23.0,29.0,52.0,48.0,0.0,['F'],BRO,5683,55482,2006-2007,https://www.eliteprospects.com/player/55482/kyle-botos,kyle-botos,0.535,0.674,1.209,0.143,0.126,0.133,CCHL2
EOJBHL,Matthew Dozois,41.0,15.0,37.0,52.0,28.0,0.0,['F'],BRO,5683,61007,2006-2007,https://www.eliteprospects.com/player/61007/matthew-dozois,matthew-dozois,0.366,0.902,1.268,0.098,0.168,0.139,CCHL2
EOJBHL,Peter Roy,43.0,27.0,24.0,51.0,16.0,0.0,['F'],BRO,5683,334014,2006-2007,https://www.eliteprospects.com/player/334014/peter-roy,peter-roy,0.628,0.558,1.186,0.168,0.104,0.13,CCHL2
EOJBHL,Shane Melcher,41.0,22.0,17.0,39.0,61.0,0.0,['F'],BRO,5683,279845,2006-2007,https://www.eliteprospects.com/player/279845/shane-melcher,shane-melcher,0.537,0.415,0.951,0.143,0.077,0.104,CCHL2
EOJBHL,Jason Crooke,31.0,12.0,20.0,32.0,69.0,0.0,['F'],BRO,5683,639331,2006-2007,https://www.eliteprospects.com/player/639331/jason-crooke,jason-crooke,0.387,0.645,1.032,0.103,0.12,0.113,CCHL2
EOJBHL,Ryan Kovesdy,42.0,15.0,16.0,31.0,108.0,0.0,['D'],BRO,5683,137837,2006-2007,https://www.eliteprospects.com/player/137837/ryan-kovesdy,ryan-kovesdy,0.357,0.381,0.738,0.095,0.071,0.081,CCHL2
EOJBHL,Tommy Clarke,35.0,11.0,15.0,26.0,62.0,0.0,['C'],BRO,5683,671139,2006-2007,https://www.eliteprospects.com/player/671139/tommy-clarke,tommy-clarke,0.314,0.429,0.743,0.084,0.08,0.081,CCHL2
EOJBHL,Alex McDermott,30.0,7.0,17.0,24.0,36.0,0.0,['D'],BRO,5683,638991,2006-2007,https://www.eliteprospects.com/player/638991/alex-mcdermott,alex-mcdermott,0.233,0.567,0.8,0.062,0.105,0.088,CCHL2
EOJBHL,Brandon Durant,27.0,7.0,10.0,17.0,47.0,0.0,['F'],BRO,5683,792892,2006-2007,https://www.eliteprospects.com/player/792892/brandon-durant,brandon-durant,0.259,0.37,0.63,0.069,0.069,0.069,CCHL2
EOJBHL,Cory Melkert,41.0,2.0,6.0,8.0,139.0,0.0,['D'],BRO,5683,62672,2006-2007,https://www.eliteprospects.com/player/62672/cory-melkert,cory-melkert,0.049,0.146,0.195,0.013,0.027,0.021,CCHL2
EOJBHL,Dylan Turner,38.0,18.0,27.0,45.0,82.0,0.0,['D'],CAR,8670,792908,2006-2007,https://www.eliteprospects.com/player/792908/dylan-turner,dylan-turner,0.474,0.711,1.184,0.486,0.364,0.405,CCHL2
EOJBHL,Pat Maloney,39.0,7.0,24.0,31.0,166.0,0.0,['LW'],CAR,8670,87507,2006-2007,https://www.eliteprospects.com/player/87507/pat-maloney,pat-maloney,0.179,0.615,0.795,0.184,0.316,0.272,CCHL2
EOJBHL,Scott Wilson,38.0,7.0,16.0,23.0,37.0,0.0,['C'],CAR,8670,824486,2006-2007,https://www.eliteprospects.com/player/824486/scott-wilson,scott-wilson,0.184,0.421,0.605,0.189,0.216,0.207,CCHL2
EOJBHL,Scott Baxter,40.0,7.0,11.0,18.0,42.0,0.0,['F'],CAR,8670,424148,2006-2007,https://www.eliteprospects.com/player/424148/scott-baxter,scott-baxter,0.175,0.275,0.45,0.179,0.141,0.154,CCHL2
EOJBHL,Addison Pelkey,31.0,20.0,30.0,50.0,90.0,0.0,['RW'],CHA,6851,95587,2006-2007,https://www.eliteprospects.com/player/95587/addison-pelkey,addison-pelkey,0.645,0.968,1.613,0.466,0.434,0.446,CCHL2
EOJBHL,Vince Quesnel,39.0,14.0,25.0,39.0,47.0,0.0,['F'],CHA,6851,792915,2006-2007,https://www.eliteprospects.com/player/792915/vince-quesnel,vince-quesnel,0.359,0.641,1.0,0.259,0.287,0.277,CCHL2
EOJBHL,Brett Michaud,34.0,12.0,22.0,34.0,77.0,0.0,['C'],CHA,6851,638459,2006-2007,https://www.eliteprospects.com/player/638459/brett-michaud,brett-michaud,0.353,0.647,1.0,0.255,0.29,0.277,CCHL2
EOJBHL,Bruce Best,16.0,6.0,7.0,13.0,54.0,0.0,['C'],CHA,6851,208248,2006-2007,https://www.eliteprospects.com/player/208248/bruce-best,bruce-best,0.375,0.438,0.812,0.271,0.196,0.225,CCHL2
EOJBHL,Josh Maida,3.0,2.0,3.0,5.0,8.0,0.0,['RW'],CHA,6851,300702,2006-2007,https://www.eliteprospects.com/player/300702/josh-maida,josh-maida,0.667,1.0,1.667,0.481,0.448,0.461,CCHL2
EOJBHL,Anthony Ventura,1.0,0.0,0.0,0.0,17.0,0.0,['C'],CHA,6851,57569,2006-2007,https://www.eliteprospects.com/player/57569/anthony-ventura,anthony-ventura,0.0,0.0,0.0,0.0,0.0,0.0,CCHL2
EOJBHL,Adam Fedor,40.0,24.0,47.0,71.0,108.0,0.0,['LW'],CLA,24541,671627,2006-2007,https://www.eliteprospects.com/player/671627/adam-fedor,adam-fedor,0.6,1.175,1.775,0.173,0.204,0.192,CCHL2
EOJBHL,Carl Blanchard,37.0,31.0,37.0,68.0,6.0,0.0,['F'],CLA,24541,792928,2006-2007,https://www.eliteprospects.com/player/792928/carl-blanchard,carl-blanchard,0.838,1.0,1.838,0.241,0.174,0.199,CCHL2
EOJBHL,Martin Paquette,39.0,30.0,38.0,68.0,70.0,0.0,['F'],CLA,24541,792929,2006-2007,https://www.eliteprospects.com/player/792929/martin-paquette,martin-paquette,0.769,0.974,1.744,0.221,0.169,0.189,CCHL2
EOJBHL,Jason Talbot,40.0,21.0,21.0,42.0,18.0,0.0,['C'],CLA,24541,533409,2006-2007,https://www.eliteprospects.com/player/533409/jason-talbot,jason-talbot,0.525,0.525,1.05,0.151,0.091,0.114,CCHL2
EOJBHL,Steve Roque,25.0,9.0,25.0,34.0,29.0,0.0,['F'],CLA,24541,792913,2006-2007,https://www.eliteprospects.com/player/792913/steve-roque,steve-roque,0.36,1.0,1.36,0.104,0.174,0.147,CCHL2
EOJBHL,Nicholas LaBrosse,38.0,4.0,29.0,33.0,224.0,0.0,['D'],CLA,24541,249168,2006-2007,https://www.eliteprospects.com/player/249168/nicholas-labrosse,nicholas-labrosse,0.105,0.763,0.868,0.03,0.133,0.094,CCHL2
EOJBHL,Mathieu Ouellette,23.0,11.0,16.0,27.0,12.0,0.0,['LW'],CLA,24541,40199,2006-2007,https://www.eliteprospects.com/player/40199/mathieu-ouellette,mathieu-ouellette,0.478,0.696,1.174,0.138,0.121,0.127,CCHL2
EOJBHL,John Deavy,7.0,3.0,7.0,10.0,18.0,0.0,['LW'],CLA,24541,792911,2006-2007,https://www.eliteprospects.com/player/792911/john-deavy,john-deavy,0.429,1.0,1.429,0.123,0.174,0.155,CCHL2
EOJBHL,Jamie Begin,20.0,4.0,4.0,8.0,65.0,0.0,['C'],CLA,24541,159288,2006-2007,https://www.eliteprospects.com/player/159288/jamie-begin,jamie-begin,0.2,0.2,0.4,0.058,0.035,0.043,CCHL2
EOJBHL,Jonathan Burroughs,37.0,2.0,6.0,8.0,48.0,0.0,['D'],CLA,24541,61315,2006-2007,https://www.eliteprospects.com/player/61315/jonathan-burroughs,jonathan-burroughs,0.054,0.162,0.216,0.016,0.028,0.023,CCHL2
EOJBHL,Tom Dickson,43.0,36.0,45.0,81.0,230.0,0.0,['F'],GAN,6240,627937,2006-2007,https://www.eliteprospects.com/player/627937/tom-dickson,tom-dickson,0.837,1.047,1.884,0.409,0.433,0.422,CCHL2
EOJBHL,Eric Hebert,42.0,35.0,25.0,60.0,37.0,0.0,['F'],GAN,6240,792890,2006-2007,https://www.eliteprospects.com/player/792890/eric-hebert,eric-hebert,0.833,0.595,1.429,0.407,0.246,0.32,CCHL2
EOJBHL,Curtis Peters,40.0,17.0,34.0,51.0,80.0,0.0,['F'],GAN,6240,792910,2006-2007,https://www.eliteprospects.com/player/792910/curtis-peters,curtis-peters,0.425,0.85,1.275,0.208,0.351,0.286,CCHL2
EOJBHL,Shawn Tremblay,38.0,32.0,53.0,85.0,80.0,0.0,"['C', 'LW']",GAT,10381,198142,2006-2007,https://www.eliteprospects.com/player/198142/shawn-tremblay,shawn-tremblay,0.842,1.395,2.237,0.175,0.213,0.197,CCHL2
EOJBHL,Nicolas Mongeau,40.0,32.0,45.0,77.0,70.0,0.0,['F'],GAT,10381,317267,2006-2007,https://www.eliteprospects.com/player/317267/nicolas-mongeau,nicolas-mongeau,0.8,1.125,1.925,0.167,0.172,0.17,CCHL2
EOJBHL,Simon Morin,40.0,26.0,33.0,59.0,22.0,0.0,['F'],GAT,10381,792932,2006-2007,https://www.eliteprospects.com/player/792932/simon-morin,simon-morin,0.65,0.825,1.475,0.135,0.126,0.13,CCHL2
