team,teamid,season,shortname,league,url,gp,w,t,l,otw,otl,gf,ga,gd,tp
 Ottawa West Golden Knights,6850,2019-2020,ottawa-west-golden-knights,CCHL2,https://www.eliteprospects.com/team/6850/ottawa-west-golden-knights/2019-2020,44,36,0.0,6,0.0,2,192,108,84,74
 Perth Blue Wings,6846,2019-2020,perth-blue-wings,CCHL2,https://www.eliteprospects.com/team/6846/perth-blue-wings/2019-2020,44,29,0.0,12,0.0,3,149,120,29,61
 Renfrew Timberwolves,6434,2019-2020,renfrew-timberwolves,CCHL2,https://www.eliteprospects.com/team/6434/renfrew-timberwolves/2019-2020,44,25,0.0,14,0.0,5,167,137,30,55
 Richmond Royals,6849,2019-2020,richmond-royals,CCHL2,https://www.eliteprospects.com/team/6849/richmond-royals/2019-2020,44,14,0.0,25,0.0,5,142,210,-68,33
 Westport Rideaus,9701,2019-2020,westport-rideaus,CCHL2,https://www.eliteprospects.com/team/9701/westport-rideaus/2019-2020,44,30,0.0,11,0.0,3,230,140,90,63
 Whitewater Kings,24543,2019-2020,whitewater-kings,CCHL2,https://www.eliteprospects.com/team/24543/whitewater-kings/2019-2020,44,10,0.0,29,0.0,5,102,196,-94,25
 Winchester Hawks,5867,2019-2020,winchester-hawks,CCHL2,https://www.eliteprospects.com/team/5867/winchester-hawks/2019-2020,44,24,0.0,14,0.0,6,175,165,10,54
 Alexandria Glens,6623,2020-2021,alexandria-glens,CCHL2,https://www.eliteprospects.com/team/6623/alexandria-glens/2020-2021,0,0,0.0,0,0.0,0,0,0,0,0
 Arnprior Packers,6848,2020-2021,arnprior-packers,CCHL2,https://www.eliteprospects.com/team/6848/arnprior-packers/2020-2021,0,0,0.0,0,0.0,0,0,0,0,0
 Athens Aeros,3518,2020-2021,athens-aeros,CCHL2,https://www.eliteprospects.com/team/3518/athens-aeros/2020-2021,0,0,0.0,0,0.0,0,0,0,0,0
 Brockville Tikis,5683,2020-2021,brockville-tikis,CCHL2,https://www.eliteprospects.com/team/5683/brockville-tikis/2020-2021,0,0,0.0,0,0.0,0,0,0,0,0
 Carleton Place Jr. Canadians,24541,2020-2021,carleton-place-jr.-canadians,CCHL2,https://www.eliteprospects.com/team/24541/carleton-place-jr.-canadians/2020-2021,0,0,0.0,0,0.0,0,0,0,0,0
 Casselman Vikings,6354,2020-2021,casselman-vikings,CCHL2,https://www.eliteprospects.com/team/6354/casselman-vikings/2020-2021,0,0,0.0,0,0.0,0,0,0,0,0
 Char-Lan Rebels,6851,2020-2021,char-lan-rebels,CCHL2,https://www.eliteprospects.com/team/6851/char-lan-rebels/2020-2021,0,0,0.0,0,0.0,0,0,0,0,0
 Embrun Panthers,9755,2020-2021,embrun-panthers,CCHL2,https://www.eliteprospects.com/team/9755/embrun-panthers/2020-2021,0,0,0.0,0,0.0,0,0,0,0,0
 Ottawa Jr. Canadians,7155,2020-2021,ottawa-jr.-canadians,CCHL2,https://www.eliteprospects.com/team/7155/ottawa-jr.-canadians/2020-2021,0,0,0.0,0,0.0,0,0,0,0,0
 Ottawa West Golden Knights,6850,2020-2021,ottawa-west-golden-knights,CCHL2,https://www.eliteprospects.com/team/6850/ottawa-west-golden-knights/2020-2021,0,0,0.0,0,0.0,0,0,0,0,0
 Perth Blue Wings,6846,2020-2021,perth-blue-wings,CCHL2,https://www.eliteprospects.com/team/6846/perth-blue-wings/2020-2021,0,0,0.0,0,0.0,0,0,0,0,0
 Richmond Royals,6849,2020-2021,richmond-royals,CCHL2,https://www.eliteprospects.com/team/6849/richmond-royals/2020-2021,0,0,0.0,0,0.0,0,0,0,0,0
 Valley Timberwolves,6434,2020-2021,valley-timberwolves,CCHL2,https://www.eliteprospects.com/team/6434/valley-timberwolves/2020-2021,0,0,0.0,0,0.0,0,0,0,0,0
 Westport Rideaus,9701,2020-2021,westport-rideaus,CCHL2,https://www.eliteprospects.com/team/9701/westport-rideaus/2020-2021,0,0,0.0,0,0.0,0,0,0,0,0
 Whitewater Kings,24543,2020-2021,whitewater-kings,CCHL2,https://www.eliteprospects.com/team/24543/whitewater-kings/2020-2021,0,0,0.0,0,0.0,0,0,0,0,0
 Winchester Hawks,5867,2020-2021,winchester-hawks,CCHL2,https://www.eliteprospects.com/team/5867/winchester-hawks/2020-2021,0,0,0.0,0,0.0,0,0,0,0,0
 Brandon Wheat Kings,857,2015-2016,brandon-wheat-kings,WHL,https://www.eliteprospects.com/team/857/brandon-wheat-kings/2015-2016,72,48,0.0,18,0.0,6,319,197,122,102
 Calgary Hitmen,576,2015-2016,calgary-hitmen,WHL,https://www.eliteprospects.com/team/576/calgary-hitmen/2015-2016,72,42,0.0,26,0.0,4,246,219,27,88
 Edmonton Oil Kings,1783,2015-2016,edmonton-oil-kings,WHL,https://www.eliteprospects.com/team/1783/edmonton-oil-kings/2015-2016,72,29,0.0,36,0.0,7,197,238,-41,65
 Everett Silvertips,1537,2015-2016,everett-silvertips,WHL,https://www.eliteprospects.com/team/1537/everett-silvertips/2015-2016,72,36,0.0,26,0.0,8,182,172,10,84
 Kamloops Blazers,725,2015-2016,kamloops-blazers,WHL,https://www.eliteprospects.com/team/725/kamloops-blazers/2015-2016,72,38,0.0,25,0.0,9,237,218,19,85
 Kelowna Rockets,451,2015-2016,kelowna-rockets,WHL,https://www.eliteprospects.com/team/451/kelowna-rockets/2015-2016,72,48,0.0,20,0.0,4,269,218,51,100
 Kootenay Ice,858,2015-2016,kootenay-ice,WHL,https://www.eliteprospects.com/team/858/kootenay-ice/2015-2016,72,12,0.0,53,0.0,7,155,320,-165,31
 Lethbridge Hurricanes,793,2015-2016,lethbridge-hurricanes,WHL,https://www.eliteprospects.com/team/793/lethbridge-hurricanes/2015-2016,72,46,0.0,24,0.0,2,304,218,86,94
 Medicine Hat Tigers,859,2015-2016,medicine-hat-tigers,WHL,https://www.eliteprospects.com/team/859/medicine-hat-tigers/2015-2016,72,30,0.0,37,0.0,5,223,287,-64,65
 Moose Jaw Warriors,672,2015-2016,moose-jaw-warriors,WHL,https://www.eliteprospects.com/team/672/moose-jaw-warriors/2015-2016,72,36,0.0,27,0.0,9,249,239,10,81
 Portland Winterhawks,749,2015-2016,portland-winterhawks,WHL,https://www.eliteprospects.com/team/749/portland-winterhawks/2015-2016,72,34,0.0,31,0.0,7,228,227,1,75
 Prince Albert Raiders,687,2015-2016,prince-albert-raiders,WHL,https://www.eliteprospects.com/team/687/prince-albert-raiders/2015-2016,72,38,0.0,26,0.0,8,222,223,-1,84
 Prince George Cougars,860,2015-2016,prince-george-cougars,WHL,https://www.eliteprospects.com/team/860/prince-george-cougars/2015-2016,72,36,0.0,31,0.0,5,240,225,15,77
 Red Deer Rebels,861,2015-2016,red-deer-rebels,WHL,https://www.eliteprospects.com/team/861/red-deer-rebels/2015-2016,72,45,0.0,24,0.0,3,260,205,55,93
 Regina Pats,862,2015-2016,regina-pats,WHL,https://www.eliteprospects.com/team/862/regina-pats/2015-2016,72,36,0.0,28,0.0,8,243,253,-10,80
 Saskatoon Blades,686,2015-2016,saskatoon-blades,WHL,https://www.eliteprospects.com/team/686/saskatoon-blades/2015-2016,72,26,0.0,42,0.0,4,219,318,-99,56
 Seattle Thunderbirds,863,2015-2016,seattle-thunderbirds,WHL,https://www.eliteprospects.com/team/863/seattle-thunderbirds/2015-2016,72,45,0.0,23,0.0,4,228,186,42,94
 Spokane Chiefs,688,2015-2016,spokane-chiefs,WHL,https://www.eliteprospects.com/team/688/spokane-chiefs/2015-2016,72,33,0.0,30,0.0,9,223,245,-22,75
 Swift Current Broncos,847,2015-2016,swift-current-broncos,WHL,https://www.eliteprospects.com/team/847/swift-current-broncos/2015-2016,72,24,0.0,38,0.0,10,189,249,-60,58
 Tri-City Americans,846,2015-2016,tri-city-americans,WHL,https://www.eliteprospects.com/team/846/tri-city-americans/2015-2016,72,35,0.0,34,0.0,3,236,253,-17,73
 Vancouver Giants,864,2015-2016,vancouver-giants,WHL,https://www.eliteprospects.com/team/864/vancouver-giants/2015-2016,72,23,0.0,40,0.0,9,199,273,-74,55
 Victoria Royals,9780,2015-2016,victoria-royals,WHL,https://www.eliteprospects.com/team/9780/victoria-royals/2015-2016,72,50,0.0,16,0.0,6,281,166,115,106
